name: 🇺🇸US-173.244.56.6-0315 | type: ss | id: 243 | remarks: 🇺🇸US-212.102.47.132-0319 | protocol: ss | ping: 23 MS | avg_speed: 145.871 MB | max_speed: 139.77 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.132:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.132-0319
name: RELAY-141.101.121.115-0343 | type: vmess | id: 256 | remarks: 🇺🇸US-173.244.56.6-0332 | protocol: ss | ping: 34 MS | avg_speed: 144.686 MB | max_speed: 134.674 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@173.244.56.6:443#%F0%9F%87%BA%F0%9F%87%B8US-173.244.56.6-0332
name: 🇺🇸US-156.146.38.167-0309 | type: ss | id: 240 | remarks: 🇺🇸US-212.102.47.130-0316 | protocol: ss | ping: 24 MS | avg_speed: 127.617 MB | max_speed: 121.257 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.130:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.130-0316
name: 🇺🇸US-156.146.38.168-0312 | type: ss | id: 251 | remarks: 🇺🇸US-154.3.8.151-0327 | protocol: ss | ping: 22 MS | avg_speed: 110.977 MB | max_speed: 112.287 MB | Link: ss://YWVzLTI1Ni1nY206aVVCMDkyM1JCQQ==@154.3.8.151:30067#%F0%9F%87%BA%F0%9F%87%B8US-154.3.8.151-0327
name: 🇺🇸US-184.170.241.194-0313 | type: ss | id: 252 | remarks: 🇺🇸US-212.102.47.131-0328 | protocol: ss | ping: 24 MS | avg_speed: 108.889 MB | max_speed: 124.202 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@212.102.47.131:443#%F0%9F%87%BA%F0%9F%87%B8US-212.102.47.131-0328
name: 🇺🇸US-156.146.38.170-0311 | type: ss | id: 237 | remarks: 🇨🇦CA-79.127.233.170-0313 | protocol: ss | ping: 43 MS | avg_speed: 97.885 MB | max_speed: 106.1 MB | Link: ss://Y2hhY2hhMjAtaWV0Zi1wb2x5MTMwNTpmOGY3YUN6Y1BLYnNGOHAz@79.127.233.170:990#%F0%9F%87%A8%F0%9F%87%A6CA-79.127.233.170-0313
name: 🇺🇸US-212.102.47.132-0323 | type: ss | id: 272 | remarks: 🏁RELAY-141.101.121.146-0351 | protocol: vmess | ping: 28 MS | avg_speed: 93.761 MB | max_speed: 97.378 MB | Link: vmess://ewogICAgImFkZCI6ICIxNzQzOTE5OTQxLnRlbmNlbnRhcHAuY24iLAogICAgImFpZCI6IDAsCiAgICAiaG9zdCI6ICIxNzQzOTE5OTc4LnNwZWVkLmxheGhhLmNjY3AuZnJlZWZseS5wcC51YSIsCiAgICAiaWQiOiAiM2JiM2M3MzAtZTEwNy00OWM1LWEwYjItYjU3NmQxYjI2YTVlIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiLyIsCiAgICAicG9ydCI6IDg0NDMsCiAgICAicHMiOiAi8J+PgVJFTEFZLTE0MS4xMDEuMTIxLjE0Ni0wMzUxIiwKICAgICJ0bHMiOiAidGxzIiwKICAgICJ0eXBlIjogImF1dG8iLAogICAgInNlY3VyaXR5IjogImF1dG8iLAogICAgInNraXAtY2VydC12ZXJpZnkiOiBmYWxzZSwKICAgICJzbmkiOiAiMTc0MzkxOTk3OC5zcGVlZC5sYXhoYS5jY2NwLmZyZWVmbHkucHAudWEiCn0=
name: 🇺🇸US-212.102.47.130-0322 | type: ss | id: 244 | remarks: 🇺🇸US-184.170.241.194-0320 | protocol: ss | ping: 37 MS | avg_speed: 87.029 MB | max_speed: 104.71 MB | Link: ss://YWVzLTEyOC1jZmI6c2hhZG93c29ja3M=@184.170.241.194:443#%F0%9F%87%BA%F0%9F%87%B8US-184.170.241.194-0320
name: 🇺🇸US-156.146.38.169-0310 | type: ss | id: 1015 | remarks: 🏁RELAY-104.21.23.210-1255 | protocol: vmess | ping: 30 MS | avg_speed: 84.828 MB | max_speed: 90.859 MB | Link: vmess://ewogICAgImFkZCI6ICIxMDQuMjEuMjMuMjEwIiwKICAgICJhaWQiOiAwLAogICAgImhvc3QiOiAicmFrMi1zdWIuOTMyLnBwLnVhIiwKICAgICJpZCI6ICJhZmI4MzdhZC03OWU3LTQ0MzgtOTZkMS1iOGY3MDc3OTk5YWEiLAogICAgIm5ldCI6ICJ3cyIsCiAgICAicGF0aCI6ICIvcmFrMi1zdWIuOTMyLnBwLnVhIiwKICAgICJwb3J0IjogMjA4MywKICAgICJwcyI6ICLwn4+BUkVMQVktMTA0LjIxLjIzLjIxMC0xMjU1IiwKICAgICJ0bHMiOiAidGxzIiwKICAgICJ0eXBlIjogImF1dG8iLAogICAgInNlY3VyaXR5IjogImF1dG8iLAogICAgInNraXAtY2VydC12ZXJpZnkiOiB0cnVlLAogICAgInNuaSI6ICIiCn0=
name: RELAY-104.21.23.210-1254 | type: vmess | id: 231 | remarks: 🇺🇸US-156.146.38.169-0307 | protocol: ss | ping: 42 MS | avg_speed: 76.477 MB | max_speed: 82.64 MB | Link: ss://YWVzLTEyOC1nY206c2hhZG93c29ja3M=@156.146.38.169:443#%F0%9F%87%BA%F0%9F%87%B8US-156.146.38.169-0307
name: RELAY-172.67.213.166-0989 | type: vmess | id: 1098 | remarks: 🏁RELAY-172.67.213.166-1449 | protocol: vmess | ping: 16 MS | avg_speed: 75.751 MB | max_speed: 86.137 MB | Link: vmess://ewogICAgImFkZCI6ICIxNzIuNjcuMjEzLjE2NiIsCiAgICAiYWlkIjogMCwKICAgICJob3N0IjogInJhazItc3ViLjkzMi5wcC51YSIsCiAgICAiaWQiOiAiYWZiODM3YWQtNzllNy00NDM4LTk2ZDEtYjhmNzA3Nzk5OWFhIiwKICAgICJuZXQiOiAid3MiLAogICAgInBhdGgiOiAiL3JhazItc3ViLjkzMi5wcC51YSIsCiAgICAicG9ydCI6IDIwNTMsCiAgICAicHMiOiAi8J+PgVJFTEFZLTE3Mi42Ny4yMTMuMTY2LTE0NDkiLAogICAgInRscyI6ICJ0bHMiLAogICAgInR5cGUiOiAiYXV0byIsCiAgICAic2VjdXJpdHkiOiAiYXV0byIsCiAgICAic2tpcC1jZXJ0LXZlcmlmeSI6IHRydWUsCiAgICAic25pIjogIiIKfQ==
